  x        ,A_vet_1        ,A_vet_2        ,A_vet_3        ,A_vet_4        ,A_vet_5
 48.0000,  -0.0000000001,  -0.0809221162,  -1.5885328092,   0.0457455548,   1.5254430582
 48.4000,   0.0000000001,  -0.0777382539,  -1.5898910348,  -0.0158564700,   1.5179800581
 48.8000,  -0.0000000001,  -0.0746787973,  -1.5905943081,  -0.0774354152,   1.5053580480
 49.2000,   0.0000000001,  -0.0717388340,  -1.5906403448,  -0.1388905046,   1.4876253983
 49.6000,  -0.0000000001,  -0.0689136763,  -1.5900311426,  -0.2001288052,   1.4648367857
 50.0000,   0.0000000001,  -0.0661987864,  -1.5887649122,  -0.2610499889,   1.4370752417
 50.4000,  -0.0000000001,  -0.0635898369,  -1.5868442419,  -0.3215620570,   1.4044293741
 50.8000,   0.0000000001,  -0.0610826358,  -1.5842678315,  -0.3815657261,   1.3670158408
 51.2000,  -0.0000000001,  -0.0586731885,  -1.5810388648,  -0.4409705472,   1.3249558838
 51.6000,   0.0000000001,  -0.0563576215,  -1.5771565232,  -0.4996788695,   1.2783982993
 52.0000,  -0.0000000001,  -0.0541322477,  -1.5726245910,  -0.5576024015,   1.2274952199
 52.4000,   0.0000000001,  -0.0519934874,  -1.5674427219,  -0.6146457009,   1.1724256599
 52.8000,  -0.0000000001,  -0.0499379371,  -1.5616153052,  -0.6707232294,   1.1133704755
 53.2000,   0.0000000001,  -0.0479622883,  -1.5551424563,  -0.7257423131,   1.0505365727
 53.6000,  -0.0000000001,  -0.0460633990,  -1.5480291741,  -0.7796207480,   0.9841309697
 54.0000,   0.0000000001,  -0.0442382107,  -1.5402760232,  -0.8322691684,   0.9143857641
 54.4000,  -0.0000000001,  -0.0424838230,  -1.5318886164,  -0.8836092672,   0.8415312141
 54.8000,   0.0000000001,  -0.0407974080,  -1.5228679537,  -0.9335555032,   0.7658215729
 55.2000,  -0.0000000001,  -0.0391762878,  -1.5132202663,  -0.9820340072,   0.6875070951
 55.6000,   0.0000000001,  -0.0376178472,  -1.5029469730,  -1.0289635518,   0.6068608582
 56.0000,  -0.0000000001,  -0.0361196139,  -1.4920549287,  -1.0742752217,   0.5241495918
 56.4000,   0.0000000001,  -0.0346791684,  -1.4805459528,  -1.1178925616,   0.4396616189
 56.8000,  -0.0000000001,  -0.0332942282,  -1.4684275292,  -1.1597520997,   0.3536763903
 57.2000,   0.0000000001,  -0.0319625540,  -1.4557018572,  -1.1997825766,   0.2664936975
 57.6000,  -0.0000000001,  -0.0306820387,  -1.4423770560,  -1.2379264232,   0.1784017771
 58.0000,   0.0000000001,  -0.0294506086,  -1.4284556816,  -1.2741179626,   0.0897079655
 58.4000,  -0.0000000001,  -0.0282663184,  -1.4139464957,  -1.3083059560,   0.0007052206
