  x        ,A_vet_1        ,A_vet_2        ,A_vet_3        ,A_vet_4        ,A_vet_5
138.2915,   0.0000319375,   0.0000049640,   0.7318920991,  -1.2767170522,  -1.5093527408
139.0955,  -0.0000318947,   0.0000484984,   0.7067944988,  -1.2450522862,  -1.4996376041
139.8995,   0.0000318153,   0.0000025504,   0.6815334353,  -1.2118224857,  -1.4855892695
140.7035,  -0.0000316962,   0.0000461266,   0.6559583492,  -1.1768017206,  -1.4667863225
141.5075,   0.0000315331,   0.0000008992,   0.6302373169,  -1.1403093862,  -1.4437503043
142.3116,  -0.0000313224,   0.0000442454,   0.6042200439,  -1.1021238136,  -1.4160874346
143.1156,   0.0000310570,  -0.0000000150,   0.5780742747,  -1.0625682953,  -1.3843448540
143.9196,  -0.0000307343,   0.0000427869,   0.5516507737,  -1.0214264815,  -1.3481579061
144.7236,   0.0000303408,  -0.0000001942,   0.5251160204,  -0.9790237472,  -1.3080956296
145.5276,  -0.0000298790,   0.0000416883,   0.4983228873,  -0.9351505456,  -1.2638244063
146.3317,   0.0000293188,   0.0000003863,   0.4714353384,  -0.8901319346,  -1.2159302252
147.1357,  -0.0000286826,   0.0000408860,   0.4443098044,  -0.8437673475,  -1.1641132857
147.9397,   0.0000278941,   0.0000017838,   0.4171059703,  -0.7963781850,  -1.1089697811
148.7437,  -0.0000270425,   0.0000403080,   0.3896859378,  -0.7477762197,  -1.0502381590
149.5477,   0.0000259154,   0.0000040980,   0.3622024782,  -0.6982742438,  -0.9885152378
150.3518,  -0.0000248173,   0.0000398596,   0.3345266431,  -0.6477018587,  -0.9235852946
151.1558,   0.0000231269,   0.0000074898,   0.3068000629,  -0.5963553243,  -0.8560312669
151.9598,  -0.0000218257,   0.0000393996,   0.2789082418,  -0.5440917064,  -0.7856971271
152.7638,   0.0000190492,   0.0000122155,   0.2509742515,  -0.4911767766,  -0.7131278273
153.5678,  -0.0000178866,   0.0000386942,   0.2229082736,  -0.4375136610,  -0.6382545558
154.3719,   0.0000126689,   0.0000186943,   0.1948001492,  -0.3833097870,  -0.5615386555
155.1759,  -0.0000130149,   0.0000373205,   0.1666066261,  -0.3285554122,  -0.4830601654
155.9799,   0.0000015708,   0.0000276596,   0.1383497778,  -0.2733332079,  -0.4030925860
156.7839,  -0.0000081245,   0.0000344283,   0.1100912666,  -0.2178327835,  -0.3220335876
157.5879,  -0.0000206690,   0.0000405735,   0.0816767013,  -0.1618001513,  -0.2396461412
158.3920,  -0.0000070310,   0.0000279263,   0.0535069733,  -0.1060831664,  -0.1573323670
159.1960,  -0.0000740916,   0.0000617619,   0.0245940135,  -0.0487950254,  -0.0724065039
160.0000,   0.0000000022,  -0.0000000012,   0.0000003150,  -0.0000006246,  -0.0000009276
