  x        ,A_vet_1        ,A_vet_2        ,A_vet_3        ,A_vet_4        ,A_vet_5
  8.2188,   0.0551203527,  -0.0560318343,  -0.0107189203,   0.0168158673,   0.0202700291
  8.5924,   0.0445454307,  -0.0631223321,  -0.0119812358,   0.0187114552,   0.0223950446
  8.9660,   0.0356504507,  -0.0683824718,  -0.0128750913,   0.0200126972,   0.0237732194
  9.3396,   0.0283104610,  -0.0720536783,  -0.0134471627,   0.0207935330,   0.0244955067
  9.7131,   0.0223422907,  -0.0743913352,  -0.0137467273,   0.0211319551,   0.0246577580
 10.0867,   0.0175448507,  -0.0756391734,  -0.0138207376,   0.0211022645,   0.0243513547
 10.4603,   0.0137229171,  -0.0760159418,  -0.0137112830,   0.0207710918,   0.0236583930
 10.8339,   0.0106995236,  -0.0757101029,  -0.0134545891,   0.0201958399,   0.0226498619
 11.2075,   0.0083210953,  -0.0748794302,  -0.0130809601,   0.0194246154,   0.0213855766
 11.5811,   0.0064582662,  -0.0736532062,  -0.0126152188,   0.0184969380,   0.0199150760
 11.9546,   0.0050043487,  -0.0721356124,  -0.0120773809,   0.0174448173,   0.0182789583
 12.3282,   0.0038727259,  -0.0704095215,  -0.0114833890,   0.0162939206,   0.0165102985
 12.7018,   0.0029938938,  -0.0685401410,  -0.0108458260,   0.0150646968,   0.0146360397
 13.0754,   0.0023125801,  -0.0665782467,  -0.0101745445,   0.0137733826,   0.0126781985
 13.4490,   0.0017851309,  -0.0645630583,  -0.0094772233,   0.0124328667,   0.0106549151
 13.8225,   0.0013772536,  -0.0625245869,  -0.0087598143,   0.0110534076,   0.0085813152
 14.1961,   0.0010621218,  -0.0604855865,  -0.0080269249,   0.0096432166,   0.0064702067
 14.5697,   0.0008188196,  -0.0584631115,  -0.0072821127,   0.0082089342,   0.0043326304
 14.9433,   0.0006310808,  -0.0564697944,  -0.0065281247,   0.0067559909,   0.0021782937
 15.3169,   0.0004862819,  -0.0545148179,  -0.0057670898,   0.0052889083,   0.0000159009
 15.6905,   0.0003746420,  -0.0526047163,  -0.0050006607,   0.0038115163,  -0.0021465933
 16.0640,   0.0002885925,  -0.0507439822,  -0.0042301309,   0.0023271309,  -0.0043017967
 16.4376,   0.0002222828,  -0.0489355437,  -0.0034565222,   0.0008386853,  -0.0064427415
 16.8112,   0.0001711939,  -0.0471811481,  -0.0026806525,  -0.0006511709,  -0.0085627846
 17.1848,   0.0001318379,  -0.0454816371,  -0.0019031866,  -0.0021399953,  -0.0106555391
 17.5584,   0.0001015238,  -0.0438371710,  -0.0011246761,  -0.0036254984,  -0.0127148284
 17.9320,   0.0000781765,  -0.0422474146,  -0.0003455897,  -0.0051055015,  -0.0147346575
 18.3055,   0.0000601962,  -0.0407116525,   0.0004336655,  -0.0065779071,  -0.0167091954
 18.6791,   0.0000463499,  -0.0392289050,   0.0012127263,  -0.0080406806,  -0.0186327696
 19.0527,   0.0000356877,  -0.0377979875,   0.0019912617,  -0.0094918301,  -0.0204998720
 19.4263,   0.0000274778,  -0.0364175960,   0.0027689629,  -0.0109294029,  -0.0223051514
 19.7999,   0.0000211562,  -0.0350863338,   0.0035455369,  -0.0123514757,  -0.0240434390
 20.1734,   0.0000162888,  -0.0338027440,   0.0043207016,  -0.0137561504,  -0.0257097483
 20.5470,   0.0000125411,  -0.0325653479,   0.0050941827,  -0.0151415570,  -0.0272992887
 20.9206,   0.0000096556,  -0.0313726664,   0.0058657099,  -0.0165058486,  -0.0288074873
 21.2942,   0.0000074339,  -0.0302232094,   0.0066350168,  -0.0178472064,  -0.0302299932
 21.6678,   0.0000057235,  -0.0291155186,   0.0074018380,  -0.0191638339,  -0.0315626934
